state,state_name,district,democratic,republican
AL,Alabama,District 1,0,208083
AL,Alabama,District 2,112089,134886
AL,Alabama,District 3,94549,192164
AL,Alabama,District 4,0,235925
AL,Alabama,District 5,102234,205647
AL,Alabama,District 6,83709,245313
AL,Alabama,District 7,229330,0
AK,Alaska,At Large,111019,155088
AZ,Arizona,District 1,142219,121745
AZ,Arizona,District 2,135873,179806
AZ,Arizona,District 3,148973,0
AZ,Arizona,District 4,81296,203487
AZ,Arizona,District 5,114940,205184
AZ,Arizona,District 6,122866,201578
AZ,Arizona,District 7,119465,39286
AZ,Arizona,District 8,0,204942
AZ,Arizona,District 9,169055,108350
AR,Arkansas,District 1,0,183866
AR,Arkansas,District 2,111347,176472
AR,Arkansas,District 3,0,217192
AR,Arkansas,District 4,0,182885
CA,California,District 1,128588,185448
CA,California,District 2,254194,76572
CA,California,District 3,152513,104453
CA,California,District 4,130845,220133
CA,California,District 5,224526,67565
CA,California,District 6,177565,57848
CA,California,District 7,152133,145168
CA,California,District 8,83035,136972
CA,California,District 9,133163,98992
CA,California,District 10,116470,124671
CA,California,District 11,214868,83341
CA,California,District 12,274035,0
CA,California,District 13,293117,29754
CA,California,District 14,231630,54817
CA,California,District 15,198578,70619
CA,California,District 16,97473,70483
CA,California,District 17,142268,0
CA,California,District 18,230460,93470
CA,California,District 19,181802,64061
CA,California,District 20,180980,74811
CA,California,District 21,57282,75126
CA,California,District 22,76211,158755
CA,California,District 23,74468,167116
CA,California,District 24,166034,144780
CA,California,District 25,122406,138755
CA,California,District 26,169248,111059
CA,California,District 27,168977,81655
CA,California,District 28,210883,59526
CA,California,District 29,128407,0
CA,California,District 30,205279,77325
CA,California,District 31,121070,94866
CA,California,District 32,114926,0
CA,California,District 33,219397,110822
CA,California,District 34,122842,0
CA,California,District 35,124044,47309
CA,California,District 36,144348,88269
CA,California,District 37,192490,0
CA,California,District 38,163590,68524
CA,California,District 39,112679,150777
CA,California,District 40,106554,0
CA,California,District 41,128164,69159
CA,California,District 42,104689,149547
CA,California,District 43,167017,52499
CA,California,District 44,93124,0
CA,California,District 45,129231,182618
CA,California,District 46,115248,0
CA,California,District 47,154759,88109
CA,California,District 48,127715,178701
CA,California,District 49,154267,155888
CA,California,District 50,103646,179937
CA,California,District 51,145162,54362
CA,California,District 52,181253,139403
CA,California,District 53,198988,97968
CO,Colorado,District 1,257254,105030
CO,Colorado,District 2,260175,170001
CO,Colorado,District 3,150914,204220
CO,Colorado,District 4,123642,248230
CO,Colorado,District 5,111676,225445
CO,Colorado,District 6,160372,191626
CO,Colorado,District 7,199758,144066
CT,Connecticut,District 1,200686,105674
CT,Connecticut,District 2,208818,111149
CT,Connecticut,District 3,213572,95786
CT,Connecticut,District 4,187811,125724
CT,Connecticut,District 5,179252,129801
DE,Delaware,At Large,233554,172301
FL,Florida,District 1,114079,255107
FL,Florida,District 2,102801,231163
FL,Florida,District 3,136338,193843
FL,Florida,District 4,113088,287509
FL,Florida,District 5,194549,108325
FL,Florida,District 6,151051,213519
FL,Florida,District 7,182039,171583
FL,Florida,District 8,127127,246483
FL,Florida,District 9,195311,144450
FL,Florida,District 10,198491,107498
FL,Florida,District 11,124713,258016
FL,Florida,District 12,116110,253559
FL,Florida,District 13,184693,171149
FL,Florida,District 14,195789,121088
FL,Florida,District 15,135475,182999
FL,Florida,District 16,155262,230654
FL,Florida,District 17,115974,209348
FL,Florida,District 18,161918,201488
FL,Florida,District 19,123812,239225
FL,Florida,District 20,222914,54646
FL,Florida,District 21,210606,118038
FL,Florida,District 22,199113,138737
FL,Florida,District 23,183225,130818
FL,Florida,District 24,0,0
FL,Florida,District 25,95319,157921
FL,Florida,District 26,115493,148547
FL,Florida,District 27,129760,157917
GA,Georgia,District 1,0,210243
GA,Georgia,District 2,148543,94056
GA,Georgia,District 3,95969,207218
GA,Georgia,District 4,220146,70593
GA,Georgia,District 5,253781,46768
GA,Georgia,District 6,124917,201088
GA,Georgia,District 7,114220,174081
GA,Georgia,District 8,83225,173983
GA,Georgia,District 9,0,256535
GA,Georgia,District 10,0,243725
GA,Georgia,District 11,105383,217935
